# angle[deg]   Cl   Cd   Cm
   15.50000          1.281         0.1075        -0.0847
   16.00000          1.284          0.117         -0.085
   16.50000          1.296          0.127        -0.0858
   17.00000          1.306         0.1368        -0.0869
   17.50000          1.308         0.1464        -0.0883
   18.00000          1.308         0.1562        -0.0901
   18.50000          1.308         0.1664        -0.0922
   19.00000          1.308          0.177        -0.0949
   19.50000          1.307         0.1878         -0.098
   20.00000          1.311         0.1987        -0.1017
   20.50000          1.325           0.21        -0.1059
   21.00000          1.324         0.2214        -0.1105
   22.00000          1.277         0.2499        -0.1172
   23.00000          1.229         0.2786        -0.1239
   24.00000          1.182         0.3077        -0.1305
   25.00000          1.136         0.3371         -0.137
   26.00000          1.093         0.3664        -0.1433
   28.00000          1.017         0.4246        -0.1556
   30.00000          0.962         0.4813        -0.1671
   32.00000          0.937         0.5356        -0.1778
   35.00000          0.947         0.6127        -0.1923
   40.00000           0.95         0.7396        -0.2154
   45.00000          0.928         0.8623        -0.2374
   50.00000          0.884         0.9781        -0.2583
   55.00000          0.821         1.0846        -0.2782
   60.00000           0.74         1.1796        -0.2971
   65.00000          0.646         1.2617        -0.3149
   70.00000           0.54         1.3297        -0.3318
   75.00000          0.425         1.3827        -0.3476
   80.00000          0.304         1.4202        -0.3625
   85.00000          0.179         1.4423        -0.3763
   90.00000          0.053         1.4512         -0.389
   95.00000         -0.073          1.448        -0.4004
  100.00000         -0.198         1.4294        -0.4105
  105.00000         -0.319         1.3954        -0.4191
  110.00000         -0.434         1.3464         -0.426
  115.00000         -0.541         1.2829        -0.4308
  120.00000         -0.637         1.2057        -0.4333
  125.00000          -0.72         1.1157         -0.433
  130.00000         -0.787         1.0144        -0.4294
  135.00000         -0.836         0.9033        -0.4219
  140.00000         -0.864         0.7845        -0.4098
  145.00000         -0.869         0.6605        -0.3922
  150.00000         -0.847         0.5346        -0.3682
  155.00000         -0.795         0.4103        -0.3364
  160.00000         -0.711         0.2922        -0.2954
  170.00000         -0.788         0.0969        -0.3966
  175.00000         -0.394         0.0334        -0.1978
  180.00000              0         0.0185              0
