# angle[deg]   Cl   Cd   Cm
   20.50000          1.798         0.4212        -0.1384
   21.00000           1.81         0.4415        -0.1416
   22.00000           1.83          0.483        -0.1479
   23.00000          1.847         0.5257        -0.1542
   24.00000          1.861         0.5694        -0.1603
   25.00000          1.872         0.6141        -0.1664
   26.00000          1.881         0.6593        -0.1724
   28.00000          1.894         0.7513        -0.1841
   30.00000          1.904         0.8441        -0.1954
   32.00000          1.915         0.9364        -0.2063
   35.00000          1.929         1.0722         -0.222
   40.00000          1.903         1.2873        -0.2468
   45.00000           1.82         1.4796        -0.2701
   50.00000           1.69         1.6401        -0.2921
   55.00000          1.522         1.7609        -0.3127
   60.00000          1.323          1.836        -0.3321
   65.00000          1.106         1.8614        -0.3502
   70.00000           0.88         1.8347        -0.3672
   75.00000          0.658         1.7567         -0.383
   80.00000          0.449         1.6334        -0.3977
   85.00000          0.267         1.4847        -0.4112
   90.00000          0.124         1.3879        -0.4234
   95.00000          0.002         1.3912        -0.4343
  100.00000         -0.118         1.3795        -0.4437
  105.00000         -0.235         1.3528        -0.4514
  110.00000         -0.348         1.3114        -0.4573
  115.00000         -0.453         1.2557         -0.461
  120.00000         -0.549         1.1864        -0.4623
  125.00000         -0.633         1.1041        -0.4606
  130.00000         -0.702         1.0102        -0.4554
  135.00000         -0.754          0.906        -0.4462
  140.00000         -0.787         0.7935        -0.4323
  145.00000         -0.797          0.675        -0.4127
  150.00000         -0.782         0.5532        -0.3863
  155.00000         -0.739         0.4318        -0.3521
  160.00000         -0.664         0.3147        -0.3085
  170.00000          -0.41         0.1144        -0.1858
  175.00000         -0.226         0.0702        -0.1022
  180.00000              0         0.0602              0
