# angle[deg]   Cl   Cd   Cm
   80.00000          0.362         1.4544        -0.3946
   85.00000          0.221         1.4196        -0.4081
   90.00000          0.092         1.3938        -0.4204
   95.00000          -0.03         1.3943        -0.4313
  100.00000          -0.15         1.3798        -0.4408
  105.00000         -0.267         1.3504        -0.4486
  110.00000         -0.379         1.3063        -0.4546
  115.00000         -0.483         1.2481        -0.4584
  120.00000         -0.578         1.1763        -0.4597
  125.00000          -0.66         1.0919        -0.4582
  130.00000         -0.727         0.9962        -0.4532
  135.00000         -0.777         0.8906        -0.4441
  140.00000         -0.807         0.7771        -0.4303
  145.00000         -0.815         0.6581        -0.4109
  150.00000         -0.797         0.5364        -0.3848
  155.00000          -0.75         0.4157        -0.3508
  160.00000         -0.673            0.3        -0.3074
  170.00000         -0.547         0.1051        -0.2786
  175.00000         -0.274         0.0388         -0.138
  180.00000              0         0.0267              0
